Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod
20-05-2023,Central,Printer,4,459.31,Store D,Wholesale,0.15,Carlos,1561.654,Gift Card
30-06-2023,South,Laptop,2,416.06,Store D,Retail,0.05,Eva,790.514,Debit Card
04-06-2024,South,Tablet,16,302.58,Store D,Retail,0,Alice,4841.28,Online
03-02-2025,West,Chair,11,33.13,Store A,Retail,0.15,Frank,309.7655,Online
09-01-2024,East,Tablet,8,582.52,Store D,Retail,0.15,Frank,3961.136,Gift Card
14-03-2024,North,Desk,5,165.15,Store A,Retail,0.1,Eva,743.175,Gift Card
06-09-2024,West,Monitor,14,242.82,Store D,Wholesale,0.15,Alice,2889.558,Cash
17-03-2023,East,Monitor,13,65.99,Store A,Wholesale,0.1,Frank,772.083,Cash
17-01-2025,West,Chair,2,251.69,Store C,Wholesale,0,Alice,503.38,Debit Card
12-09-2024,South,Laptop,1,269.41,Store B,Wholesale,0.1,Eva,242.469,Cash
05-01-2024,South,Monitor,2,371.3,Store B,Wholesale,0.05,Bob,705.47,Credit Card
19-04-2024,West,Tablet,11,288.24,Store A,Wholesale,0.15,Diana,2695.044,Online
11-06-2025,Central,Tablet,11,232.75,Store D,Wholesale,0.05,Eva,2432.2375,Credit Card
06-03-2025,East,Phone,17,146.28,Store B,Retail,0.15,Carlos,2113.746,Cash
24-05-2023,East,Chair,5,100.38,Store C,Retail,0.1,Eva,451.71,Gift Card
27-01-2023,South,Phone,11,375.48,Store B,Retail,0.05,Bob,3923.766,Debit Card
21-03-2024,South,Laptop,18,316.89,Store B,Wholesale,0.05,Bob,5418.819,Cash
25-01-2025,West,Laptop,20,295.06,Store D,Retail,0.15,Frank,5016.02,Online
12-06-2023,Central,Phone,8,301.68,Store D,Retail,0,Eva,2413.44,Cash
22-03-2025,Central,Chair,3,475.39,Store B,Retail,0.1,Alice,1283.553,Gift Card
24-02-2024,Central,Desk,16,47.25,Store D,Retail,0.15,Bob,642.6,Debit Card
09-12-2023,South,Chair,15,511.17,Store B,Wholesale,0,Frank,7667.55,Online
01-10-2023,Central,Monitor,3,66.58,Store B,Retail,0.1,Frank,179.766,Debit Card
31-07-2023,West,Tablet,5,490.52,Store D,Wholesale,0.05,Frank,2329.97,Online
24-12-2024,South,Chair,8,405.96,Store A,Wholesale,0.05,Carlos,3085.296,Credit Card
15-11-2024,North,Phone,1,159.41,Store B,Retail,0.1,Bob,143.469,Credit Card
13-03-2025,West,Monitor,16,38.49,Store C,Retail,0.15,Carlos,523.464,Debit Card
03-03-2024,East,Tablet,15,328.36,Store D,Retail,0.15,Alice,4186.59,Gift Card
11-02-2023,Central,Tablet,20,548.01,Store A,Wholesale,0.1,Eva,9864.18,Credit Card
26-10-2023,South,Desk,13,484.45,Store B,Wholesale,0.05,Carlos,5982.9575,Gift Card
21-10-2023,South,Monitor,13,195.84,Store A,Wholesale,0.05,Alice,2418.624,Credit Card
14-01-2024,Central,Tablet,19,29.94,Store D,Retail,0.15,Diana,483.531,Debit Card
27-07-2023,Central,Desk,10,553.91,Store D,Wholesale,0.1,Eva,4985.19,Online
23-10-2024,South,Phone,14,445.52,Store B,Retail,0.1,Bob,5613.552,Online
26-09-2023,South,Chair,5,551.58,Store B,Retail,0.15,Alice,2344.215,Online
16-12-2023,East,Phone,13,241.4,Store D,Retail,0,Carlos,3138.2,Gift Card
02-01-2024,Central,Printer,19,351.93,Store A,Wholesale,0,Alice,6686.67,Credit Card
16-02-2024,North,Phone,4,83.75,Store A,Retail,0.05,Alice,318.25,Debit Card
03-05-2024,East,Monitor,5,416.95,Store A,Wholesale,0.15,Frank,1772.0375,Online
27-05-2023,West,Monitor,18,142.43,Store C,Retail,0.05,Bob,2435.553,Credit Card
05-01-2023,East,Desk,12,582.52,Store A,Wholesale,0,Bob,6990.24,Credit Card
21-05-2025,East,Chair,20,129.56,Store A,Retail,0.15,Diana,2202.52,Online
21-07-2023,Central,Tablet,17,431.82,Store B,Retail,0,Eva,7340.94,Gift Card
25-05-2025,East,Laptop,15,15.85,Store C,Retail,0,Bob,237.75,Debit Card
16-11-2024,South,Tablet,20,548.34,Store B,Retail,0.1,Bob,9870.12,Gift Card
19-11-2023,North,Laptop,16,525.83,Store C,Wholesale,0.05,Frank,7992.616,Online
12-01-2025,Central,Laptop,15,411.38,Store A,Wholesale,0.05,Bob,5862.165,Online
29-03-2023,North,Monitor,19,559.95,Store A,Wholesale,0.1,Carlos,9575.145,Credit Card
01-03-2025,North,Desk,8,179.9,Store C,Retail,0.05,Carlos,1367.24,Online
18-10-2023,North,Chair,12,494.15,Store B,Wholesale,0.15,Diana,5040.33,Online
13-04-2025,East,Desk,10,462.99,Store C,Wholesale,0,Bob,4629.9,Credit Card
13-05-2025,Central,Laptop,7,460.24,Store A,Retail,0.05,Alice,3060.596,Cash
21-04-2024,West,Printer,17,309.52,Store B,Wholesale,0.05,Eva,4998.748,Online
31-01-2025,Central,Monitor,1,323.83,Store B,Wholesale,0.05,Eva,307.6385,Credit Card
14-03-2025,Central,Chair,10,503.07,Store C,Retail,0,Bob,5030.7,Credit Card
26-05-2024,West,Laptop,20,491.68,Store D,Wholesale,0.15,Alice,8358.56,Online
22-07-2023,North,Phone,17,468.45,Store A,Retail,0.05,Carlos,7565.4675,Credit Card
21-03-2024,North,Laptop,11,401.76,Store D,Retail,0.15,Frank,3756.456,Gift Card
05-04-2023,West,Printer,3,221,Store B,Wholesale,0,Frank,663,Cash
26-08-2024,East,Monitor,6,188.45,Store C,Wholesale,0.05,Alice,1074.165,Gift Card
07-07-2024,North,Desk,3,566.2,Store D,Retail,0,Bob,1698.6,Gift Card
29-09-2023,East,Monitor,14,167.09,Store D,Retail,0.05,Alice,2222.297,Gift Card
04-10-2023,West,Monitor,16,36.16,Store C,Wholesale,0.1,Carlos,520.704,Debit Card
09-06-2025,Central,Printer,2,73.94,Store B,Wholesale,0.05,Carlos,140.486,Debit Card
12-06-2025,East,Printer,16,459.49,Store A,Wholesale,0.1,Eva,6616.656,Online
29-06-2024,East,Chair,3,168.05,Store A,Retail,0,Carlos,504.15,Cash
23-03-2024,North,Printer,14,37.54,Store B,Retail,0.15,Alice,446.726,Credit Card
14-07-2024,South,Tablet,4,151.16,Store B,Wholesale,0,Alice,604.64,Gift Card
15-03-2024,South,Tablet,17,78.58,Store A,Wholesale,0.1,Bob,1202.274,Gift Card
19-04-2025,Central,Chair,15,37.33,Store B,Retail,0.05,Carlos,531.9525,Cash
15-02-2024,West,Tablet,18,537.02,Store A,Wholesale,0.15,Carlos,8216.406,Debit Card
25-01-2024,East,Desk,5,215.6,Store C,Wholesale,0,Frank,1078,Online
15-04-2025,Central,Laptop,18,209.5,Store D,Wholesale,0,Carlos,3771,Credit Card
15-04-2025,Central,Chair,8,348.98,Store A,Retail,0.1,Frank,2512.656,Online
11-08-2024,West,Printer,2,289.14,Store C,Retail,0.05,Diana,549.366,Online
01-12-2023,South,Desk,5,396.93,Store B,Wholesale,0,Diana,1984.65,Credit Card
06-08-2023,Central,Laptop,10,508.57,Store D,Retail,0.05,Bob,4831.415,Online
24-01-2024,Central,Laptop,11,259.61,Store C,Wholesale,0.1,Carlos,2570.139,Cash
07-03-2024,Central,Chair,9,313.29,Store D,Retail,0,Carlos,2819.61,Online
22-01-2024,South,Tablet,5,106.57,Store C,Wholesale,0.1,Carlos,479.565,Debit Card
23-02-2023,East,Printer,1,109,Store B,Retail,0.15,Frank,92.65,Cash
14-06-2023,North,Tablet,8,323.8,Store B,Retail,0,Diana,2590.4,Cash
13-05-2025,North,Laptop,16,384.32,Store A,Retail,0.05,Frank,5841.664,Cash
30-07-2024,Central,Printer,16,163.86,Store C,Retail,0.15,Diana,2228.496,Gift Card
18-07-2024,East,Tablet,5,23.41,Store B,Wholesale,0,Frank,117.05,Credit Card
26-08-2024,East,Printer,20,488.9,Store C,Wholesale,0.15,Eva,8311.3,Gift Card
08-06-2025,West,Tablet,7,452.56,Store A,Wholesale,0.05,Frank,3009.524,Gift Card
16-05-2025,North,Desk,11,465.24,Store A,Wholesale,0,Carlos,5117.64,Debit Card
18-07-2024,East,Phone,14,442.65,Store B,Retail,0,Eva,6197.1,Gift Card
17-09-2023,West,Laptop,12,469.44,Store B,Wholesale,0,Bob,5633.28,Online
13-03-2023,East,Monitor,14,248.77,Store C,Wholesale,0.05,Bob,3308.641,Debit Card
29-03-2023,South,Chair,4,565.29,Store D,Wholesale,0.05,Alice,2148.102,Cash
14-07-2023,Central,Desk,12,244.8,Store B,Wholesale,0.05,Frank,2790.72,Online
22-03-2024,West,Laptop,13,290.93,Store C,Retail,0.05,Diana,3592.9855,Credit Card
14-05-2024,Central,Laptop,11,229.49,Store C,Retail,0.1,Bob,2271.951,Cash
30-05-2023,Central,Monitor,2,427.36,Store A,Wholesale,0.05,Diana,811.984,Online
19-03-2023,North,Phone,2,443.51,Store C,Wholesale,0.05,Alice,842.669,Cash
09-08-2023,Central,Desk,13,280.63,Store B,Wholesale,0.15,Alice,3100.9615,Credit Card
13-10-2024,North,Chair,13,416.66,Store B,Wholesale,0.15,Bob,4604.093,Credit Card
17-02-2025,East,Chair,11,589.48,Store B,Retail,0,Alice,6484.28,Online
11-06-2025,North,Phone,18,152.84,Store C,Retail,0.15,Diana,2338.452,Debit Card
29-04-2024,Central,Tablet,4,163.66,Store B,Retail,0,Bob,654.64,Gift Card
18-03-2023,West,Laptop,19,484.25,Store C,Wholesale,0.15,Bob,7820.6375,Debit Card
21-12-2024,North,Chair,9,380.4,Store B,Retail,0.1,Carlos,3081.24,Credit Card
23-04-2023,West,Chair,17,332.38,Store A,Retail,0.1,Frank,5085.414,Credit Card
11-05-2025,Central,Chair,15,210.94,Store C,Wholesale,0.05,Frank,3005.895,Online
03-03-2024,South,Phone,9,382.8,Store D,Wholesale,0,Eva,3445.2,Cash
20-01-2025,North,Monitor,3,386.29,Store C,Retail,0.15,Carlos,985.0395,Credit Card
22-03-2025,North,Tablet,5,225.99,Store C,Retail,0,Eva,1129.95,Online
28-03-2025,South,Printer,20,312.56,Store D,Retail,0.15,Frank,5313.52,Gift Card
17-02-2025,North,Phone,13,433.77,Store C,Wholesale,0.05,Frank,5357.0595,Cash
08-11-2024,South,Tablet,20,159.33,Store A,Wholesale,0,Eva,3186.6,Online
17-03-2024,South,Phone,18,32.23,Store B,Retail,0.05,Bob,551.133,Credit Card
29-08-2023,South,Monitor,3,527.77,Store C,Retail,0.1,Bob,1424.979,Cash
22-06-2023,South,Chair,14,291.09,Store A,Retail,0,Carlos,4075.26,Cash
24-02-2024,South,Phone,8,350.12,Store C,Retail,0,Alice,2800.96,Gift Card
10-04-2024,North,Phone,10,195.26,Store D,Retail,0.05,Alice,1854.97,Credit Card
14-05-2023,South,Monitor,13,291.1,Store A,Wholesale,0,Alice,3784.3,Online
11-03-2023,South,Monitor,6,93.92,Store B,Wholesale,0.15,Eva,478.992,Credit Card
24-08-2024,Central,Printer,5,15.92,Store D,Retail,0,Eva,79.6,Credit Card
23-02-2024,South,Monitor,16,120.22,Store D,Retail,0.15,Bob,1634.992,Cash
30-01-2024,North,Monitor,11,118.8,Store A,Retail,0.05,Eva,1241.46,Online
23-01-2024,East,Tablet,10,92.45,Store C,Wholesale,0.1,Frank,832.05,Cash
05-01-2023,North,Laptop,19,463.51,Store B,Retail,0,Bob,8806.69,Cash
21-12-2023,North,Desk,7,284.7,Store D,Wholesale,0.05,Bob,1893.255,Gift Card
25-05-2023,West,Laptop,20,343.25,Store C,Wholesale,0.05,Alice,6521.75,Debit Card
30-06-2025,Central,Chair,6,95.24,Store D,Wholesale,0.15,Diana,485.724,Gift Card
12-02-2025,West,Desk,13,104.8,Store B,Retail,0.05,Diana,1294.28,Credit Card
03-01-2024,West,Tablet,12,164.31,Store B,Wholesale,0.1,Eva,1774.548,Cash
03-02-2023,South,Tablet,10,325.18,Store C,Wholesale,0.1,Alice,2926.62,Cash
01-03-2024,East,Monitor,17,542.82,Store A,Wholesale,0,Alice,9227.94,Debit Card
24-05-2023,North,Tablet,14,207.48,Store C,Wholesale,0.05,Eva,2759.484,Online
22-06-2025,North,Printer,17,527.88,Store D,Retail,0.05,Bob,8525.262,Cash
10-04-2023,North,Chair,11,71.21,Store B,Retail,0.05,Diana,744.1445,Online
04-03-2025,Central,Printer,8,486.07,Store B,Retail,0,Carlos,3888.56,Debit Card
11-07-2024,East,Laptop,6,555.03,Store C,Retail,0.1,Frank,2997.162,Credit Card
17-08-2024,East,Desk,13,421.08,Store B,Wholesale,0,Bob,5474.04,Cash
30-06-2025,North,Laptop,16,76.17,Store D,Wholesale,0.1,Alice,1096.848,Cash
06-11-2024,South,Printer,3,503.55,Store C,Wholesale,0.1,Bob,1359.585,Credit Card
01-04-2025,East,Tablet,5,31.56,Store D,Retail,0,Diana,157.8,Online
01-07-2024,West,Laptop,16,72.92,Store C,Wholesale,0.05,Frank,1108.384,Cash
09-12-2023,West,Printer,18,421.93,Store D,Retail,0.05,Bob,7215.003,Gift Card
27-06-2023,North,Desk,15,478.41,Store B,Retail,0.1,Carlos,6458.535,Debit Card
14-07-2023,South,Chair,9,501.74,Store D,Retail,0,Bob,4515.66,Online
08-02-2023,South,Tablet,7,247.53,Store C,Wholesale,0.15,Alice,1472.8035,Gift Card
28-06-2024,West,Tablet,6,176.51,Store C,Wholesale,0.15,Carlos,900.201,Debit Card
15-04-2024,West,Laptop,2,143.43,Store D,Wholesale,0,Bob,286.86,Credit Card
27-11-2023,East,Monitor,12,538.5,Store C,Wholesale,0.05,Alice,6138.9,Cash
27-03-2025,East,Printer,5,87.17,Store D,Wholesale,0,Carlos,435.85,Debit Card
06-08-2023,South,Monitor,7,498.32,Store B,Wholesale,0.1,Alice,3139.416,Credit Card
13-12-2024,South,Printer,15,57.14,Store B,Wholesale,0.15,Carlos,728.535,Debit Card
17-01-2025,Central,Tablet,18,124.18,Store B,Wholesale,0.15,Carlos,1899.954,Debit Card
26-11-2023,West,Desk,12,107.45,Store C,Retail,0.1,Bob,1160.46,Online
14-02-2023,East,Chair,8,411.26,Store A,Retail,0.1,Frank,2961.072,Gift Card
02-02-2025,Central,Printer,7,248.1,Store C,Retail,0,Diana,1736.7,Cash
11-04-2023,West,Printer,3,486.52,Store B,Wholesale,0.1,Carlos,1313.604,Gift Card
08-07-2024,North,Monitor,18,415.04,Store C,Wholesale,0.1,Eva,6723.648,Cash
08-02-2023,Central,Printer,19,165.38,Store B,Wholesale,0.15,Alice,2670.887,Online
09-04-2024,West,Desk,2,117.47,Store C,Wholesale,0,Eva,234.94,Credit Card
14-08-2023,Central,Printer,9,461.79,Store C,Wholesale,0.15,Frank,3532.6935,Gift Card
02-09-2024,West,Tablet,19,208.72,Store D,Retail,0.05,Frank,3767.396,Credit Card
29-06-2025,Central,Monitor,16,278.13,Store A,Wholesale,0.15,Alice,3782.568,Cash
02-04-2025,West,Laptop,2,580.19,Store B,Wholesale,0.05,Diana,1102.361,Debit Card
27-04-2023,Central,Tablet,8,536.43,Store B,Retail,0,Carlos,4291.44,Cash
07-08-2024,East,Phone,1,94.33,Store A,Wholesale,0,Carlos,94.33,Online
15-04-2023,West,Laptop,16,489.94,Store C,Retail,0.1,Frank,7055.136,Cash
12-08-2023,South,Desk,4,551.71,Store A,Retail,0.05,Eva,2096.498,Gift Card
19-06-2023,West,Printer,17,595.57,Store D,Retail,0.15,Bob,8605.9865,Credit Card
29-12-2023,East,Printer,1,180.12,Store A,Wholesale,0.1,Eva,162.108,Debit Card
26-03-2023,East,Desk,12,301.5,Store D,Retail,0.15,Bob,3075.3,Credit Card
01-09-2023,South,Phone,20,273.55,Store D,Retail,0.15,Frank,4650.35,Debit Card
05-08-2024,West,Tablet,6,187.06,Store B,Wholesale,0.1,Frank,1010.124,Debit Card
23-01-2025,North,Chair,16,562.52,Store D,Retail,0,Frank,9000.32,Gift Card
16-05-2023,East,Tablet,4,85.16,Store D,Wholesale,0.1,Carlos,306.576,Credit Card
14-02-2023,North,Tablet,12,451.51,Store B,Wholesale,0.15,Carlos,4605.402,Online
03-06-2024,Central,Tablet,1,259.87,Store D,Retail,0.15,Eva,220.8895,Gift Card
08-11-2023,Central,Tablet,20,268.25,Store D,Retail,0.05,Diana,5096.75,Cash
24-01-2023,West,Phone,10,266.13,Store B,Wholesale,0,Diana,2661.3,Gift Card
20-03-2025,West,Laptop,18,493.06,Store D,Wholesale,0.05,Diana,8431.326,Cash
22-02-2024,West,Monitor,4,36.82,Store C,Wholesale,0.05,Frank,139.916,Credit Card
02-04-2025,North,Printer,12,413.45,Store D,Retail,0.15,Bob,4217.19,Cash
12-06-2025,North,Chair,19,446.25,Store B,Retail,0.1,Eva,7630.875,Gift Card
13-05-2023,East,Laptop,7,82.77,Store D,Wholesale,0.15,Frank,492.4815,Debit Card
25-03-2023,South,Desk,17,339.88,Store A,Retail,0,Alice,5777.96,Cash
22-11-2024,South,Printer,19,364.32,Store B,Retail,0.15,Frank,5883.768,Debit Card
07-07-2023,East,Tablet,3,71.91,Store B,Wholesale,0,Alice,215.73,Gift Card
05-10-2024,East,Tablet,20,576.3,Store D,Wholesale,0.05,Eva,10949.7,Credit Card
31-03-2024,West,Laptop,7,120.6,Store B,Wholesale,0,Diana,844.2,Online
01-04-2025,West,Printer,8,96.19,Store A,Wholesale,0.05,Carlos,731.044,Debit Card
23-08-2023,West,Printer,14,471.17,Store A,Wholesale,0.05,Carlos,6266.561,Gift Card
14-08-2024,South,Phone,20,14.33,Store D,Wholesale,0.1,Carlos,257.94,Debit Card
14-02-2025,Central,Tablet,18,499.61,Store B,Retail,0.15,Alice,7644.033,Debit Card
11-11-2023,West,Monitor,14,16.33,Store B,Wholesale,0.1,Diana,205.758,Debit Card
01-04-2024,Central,Desk,17,480.62,Store C,Wholesale,0.15,Carlos,6944.959,Online
13-06-2024,South,Chair,5,555.84,Store C,Retail,0.05,Diana,2640.24,Credit Card
28-11-2023,North,Chair,18,174.03,Store B,Wholesale,0.1,Frank,2819.286,Online
11-11-2024,Central,Desk,11,286.05,Store A,Retail,0.1,Bob,2831.895,Debit Card
04-11-2024,North,Desk,16,40.73,Store D,Retail,0,Alice,651.68,Credit Card
01-01-2023,Central,Chair,11,468.22,Store D,Retail,0,Carlos,5150.42,Debit Card
18-01-2025,North,Tablet,1,411.54,Store C,Retail,0.1,Eva,370.386,Gift Card
02-05-2023,Central,Printer,13,134.2,Store A,Wholesale,0.05,Eva,1657.37,Credit Card
27-05-2025,West,Printer,10,351.23,Store B,Retail,0.15,Frank,2985.455,Online
27-12-2024,South,Monitor,14,551.14,Store C,Wholesale,0.1,Diana,6944.364,Online
18-03-2025,West,Chair,2,131.13,Store B,Retail,0.1,Eva,236.034,Debit Card
24-03-2024,East,Laptop,6,595.11,Store C,Wholesale,0,Diana,3570.66,Cash
26-12-2024,East,Laptop,6,516.66,Store C,Wholesale,0.05,Bob,2944.962,Online
11-01-2023,North,Desk,6,202.57,Store D,Retail,0.05,Eva,1154.649,Gift Card
01-06-2025,South,Laptop,13,306.16,Store A,Wholesale,0.15,Frank,3383.068,Cash
26-09-2024,East,Desk,11,472.74,Store D,Retail,0.15,Carlos,4420.119,Credit Card
10-08-2024,East,Phone,20,337.37,Store C,Retail,0.1,Diana,6072.66,Gift Card
02-03-2025,South,Phone,12,34.24,Store C,Retail,0.1,Frank,369.792,Cash
21-02-2023,East,Tablet,4,477.05,Store B,Wholesale,0,Carlos,1908.2,Credit Card
20-11-2024,East,Laptop,6,562.93,Store C,Retail,0,Alice,3377.58,Credit Card
26-08-2023,East,Chair,20,18.29,Store B,Retail,0,Diana,365.8,Debit Card
01-01-2024,South,Monitor,7,208.86,Store B,Retail,0,Frank,1462.02,Cash
24-11-2024,South,Printer,12,330.36,Store D,Retail,0.05,Diana,3766.104,Cash
25-08-2024,South,Tablet,7,50.26,Store C,Retail,0.15,Diana,299.047,Cash
10-06-2023,South,Laptop,2,374.59,Store C,Wholesale,0.15,Carlos,636.803,Online
18-12-2024,North,Printer,7,467.6,Store A,Retail,0.1,Carlos,2945.88,Debit Card
28-08-2023,East,Chair,3,376.24,Store A,Retail,0.05,Frank,1072.284,Debit Card
22-01-2023,West,Phone,13,140.49,Store A,Retail,0,Eva,1826.37,Debit Card
07-02-2023,North,Monitor,3,506.33,Store B,Retail,0.15,Frank,1291.1415,Debit Card
22-11-2023,South,Monitor,8,138.73,Store A,Wholesale,0.05,Frank,1054.348,Online
25-01-2023,West,Desk,6,134.53,Store C,Retail,0.15,Carlos,686.103,Debit Card
05-03-2025,South,Tablet,18,375.96,Store D,Wholesale,0.05,Diana,6428.916,Debit Card
02-02-2023,North,Printer,10,538.47,Store D,Retail,0.1,Bob,4846.23,Gift Card
24-05-2023,North,Tablet,15,505.44,Store A,Wholesale,0.1,Alice,6823.44,Online
30-05-2024,South,Printer,4,312.09,Store C,Wholesale,0.15,Diana,1061.106,Debit Card
23-01-2024,West,Desk,15,579.58,Store C,Retail,0.15,Eva,7389.645,Credit Card
06-02-2023,North,Chair,10,217.43,Store A,Retail,0.15,Bob,1848.155,Credit Card
15-07-2024,West,Phone,15,476.15,Store B,Wholesale,0.05,Carlos,6785.1375,Online
06-03-2025,East,Chair,5,89.03,Store C,Wholesale,0.1,Frank,400.635,Debit Card
29-07-2023,Central,Phone,17,6.88,Store A,Retail,0.1,Frank,105.264,Gift Card
26-07-2023,North,Printer,6,355.26,Store D,Retail,0.1,Bob,1918.404,Online
10-04-2024,West,Tablet,8,294.76,Store C,Retail,0.1,Diana,2122.272,Online
24-01-2025,North,Desk,16,60.69,Store A,Wholesale,0,Carlos,971.04,Credit Card
27-04-2025,West,Laptop,2,559.63,Store B,Wholesale,0.1,Diana,1007.334,Credit Card
20-02-2025,East,Phone,4,232.66,Store B,Wholesale,0.1,Frank,837.576,Online
14-09-2023,North,Printer,10,230.87,Store A,Retail,0.15,Bob,1962.395,Debit Card
17-04-2024,West,Tablet,7,353.9,Store C,Wholesale,0.15,Alice,2105.705,Debit Card
14-11-2024,Central,Tablet,12,561.07,Store A,Retail,0,Alice,6732.84,Gift Card
25-07-2024,North,Chair,15,247.21,Store D,Wholesale,0.1,Bob,3337.335,Gift Card
05-08-2024,East,Phone,19,271.22,Store A,Wholesale,0.1,Alice,4637.862,Credit Card
23-01-2025,West,Laptop,6,532.54,Store A,Wholesale,0,Diana,3195.24,Debit Card
27-04-2025,West,Printer,16,329.54,Store A,Wholesale,0.15,Bob,4481.744,Debit Card
20-09-2024,South,Phone,6,170.1,Store A,Retail,0,Eva,1020.6,Gift Card
08-09-2023,West,Laptop,19,212.83,Store D,Wholesale,0.15,Carlos,3437.2045,Online
20-04-2025,South,Laptop,5,578.92,Store A,Wholesale,0,Bob,2894.6,Credit Card
20-06-2024,North,Phone,3,456.92,Store C,Retail,0.1,Frank,1233.684,Gift Card
11-01-2023,East,Tablet,12,521.53,Store D,Retail,0,Eva,6258.36,Credit Card
04-07-2023,North,Desk,17,468.19,Store D,Retail,0.05,Diana,7561.2685,Cash
08-03-2025,Central,Monitor,9,8.81,Store D,Retail,0.15,Alice,67.3965,Online
10-02-2025,South,Chair,6,521.1,Store A,Wholesale,0.15,Frank,2657.61,Cash
17-03-2025,West,Monitor,10,289.91,Store C,Retail,0.1,Diana,2609.19,Cash
09-11-2023,East,Printer,3,142.27,Store D,Retail,0.05,Bob,405.4695,Online
30-11-2023,Central,Printer,15,354.09,Store B,Retail,0.05,Carlos,5045.7825,Online
15-08-2024,South,Tablet,20,358.57,Store B,Wholesale,0,Alice,7171.4,Debit Card
21-03-2023,West,Tablet,16,33.18,Store C,Retail,0.05,Eva,504.336,Online
